datar_x	datar_y	dataw_x	dataw_y	coladd_x	coladd_y	rowadd_x	rowadd_y	bankadd_x	bankadd_y	control_x	control_y	clock_x	clock_y
15673.5	11940	2170.5	7805	11092.5	7805	11092.5	7805	11092.5	7805	15673.5	7805	15673.5	7805
15673.5	13775	2170.5	7791.75	4521	7805	4401	7805	4401	7805	16758.75	7805	16758.75	7805
15673.5	15610	2170.5	7818.25	4521	8170	4401	11940	4401	8170	17844	7805	17844	7805
15673.5	11940	2170.5	7805	6751.5	8170	4401	13775			15673.5	7805	15673.5	7805
15673.5	8170	1627.875	7805			4401	15610			2170.5	7805	2170.5	7805
13443	8170	1085.25	7805			4401	11940			1085.25	7805	1085.25	7805
13443	7805	2170.5	7805							0	7805	0	7805
2170.5	7805	13443	7805							2170.5	7805	2170.5	7805
1627.875	7805	13443	8170										
1085.25	7805	15673.5	8170										
2170.5	7805	15673.5	11940										
2170.5	7791.75	15673.5	13775										
2170.5	7818.25	15673.5	15610										
2170.5	7805	15673.5	11940										
